             Binding p-values														Binding ratios	
EntrezGene Symbol	p65 (-LPS)	c-Rel (-LPS)	RelB (-LPS)	p50 (-LPS)	p52 (-LPS)		p65 (+LPS)	c+Rel (+LPS)	RelB (+LPS)	p50 (+LPS)	p52 (+LPS)			RNA pol II (-LPS)	RNA pol II (+LPS)
SMARCA5	0.96	0.83	0.43	0.22	0.66		0.31	0.87	0.53	0.23	0.6			4.33	3.93
SMARCAD1	0.7	 	0.42	0.34	 		0.86	0.53	0.15	0.06	0.77			3.34	2.74
SMARCB1	0.03	0.15	0.72	0.42	0.27		0.51	0.06	0.27	0.49	0.61			0.99	1.05
SMARCC1	0.87		 	0.97	0.93		0.95	0.85		0.9	 				
SMARCC2	0.4	0.08	0.83	0.85	0.93		0.26	0.83	0.75	0.64	0.71			0.85	0.86
SMARCD2	0.26	0.09	0.49	0.11	0.55		0.1	0.19	0.42	0.19	0.59			1.13	1.17
SMARCD3	0.55	0.62	0.64	0.49	0.93		0.82	0.22	0.76	0.67	0.72			0.32	1.5
SMARCE1	0.62	0.6	0.25	0.15	0.55		0.12	0.15	0.2	0.06	0.24			3.7	3.38
SMBP	0.18	0.4	0.17	0.77	0.95		0.13	0.49	0.76	0.53	0.36			0.97	0.97
SMC1L1	0.57	0.62	0.66	0.17	0.89		0.37	0.34	0.37	0.2	0.57			3.02	2.8
SMC2L1	0.58	0.19	0.39	0.13	0.34		0.22	0.13	0.23	0.06	0.41			3.96	3.14
SMC4L1	0.76	0.68	0.75	0.6	0.98		0.81	0.82	0.48	0.2	0.44			2.92	2.79
SMC6L1	0.59	 	0.57	0.37	 		0.37	0.39	0.23	0.08	0.37			2.18	2.52
SMN1	0.69	0.9	0.88	0.72	0.74		0.64	0.82	0.33	0.75	0.74			0.87	0.82
SMN2	0.65	0.88	0.8	0.72	0.96		0.92	0.83	0.4	0.46	0.91			0.98	0.9
SMNDC1	0.5	0.08	0.93	0.34	0.99		0.45	0.57	0.84	0.45	0.88			1.01	1.01
SMO	0.07	0.2	0.22	0.14	0.3		0.14	0.56	0.86	0.78	0.61			0.99	0.93
SMOC1	0.63	0.26	1	0.73	0.87		0.92	0.93	0.99	0.84	 				
SMPD1	0.56	0.16	0	0	0		0	0	0	0	0			4.01	4.16
SMPD2	0.69		 	0.37	0.62		0.89	0.91	0.98	0.73	 				
SMPD3	0.66	0.48	1	0.82	0.42		0.16	0.35	0.83	0.44	0.99			1.79	2.65
SMPDL3B	0.13	0.08	0.35	0.31	0.22		0.32	0.63	0.35	0.59	0.21			0.79	0.78
SMPX	0.44	0.75	0.63	0.84	0.4		0.89	0.87	0.7	0.77	0.52			0.68	0.58
SMS	0.38	0.18	0.21	0.38	0.56		0.74	0.12	0.6	0.72	0.83			0.93	0.88
SMTN	0.77	0.67	0.23	0.34	0.25		0.62	0.75	0.43	0.42	0.32			2.49	2.55
SMYD3	0.93	0.89	0.52	0.69	1		0.95	0.34	0.88	0.77	0.84			1.46	0.66
SN	0.05	0.05	0.85	0.12	0.52		0.1	0.47	0.59	0.41	0.61			0.78	0.81
SNAG1	0.04	 	0.73	0.78	 		0.33	0.8	0.77	0.66	0.93			0.7	
SNAI1	0.13	0.11	0.04	0.13	0.2		0.39	0.25	0.69	0.77	0.26			1	1.01
SNAI2	0.21	0.49	0.38	0.36	0.4		0.86	0.34	0.91	0.64	0.69			0.92	0.83
SNAP23	0.87	0.72	0.45	0.48	1		0.71	0.25	0.01	0.05	0.69			4.4	4.21
SNAP25	0.26	0.26	0.12	0.77	0.43		0.06	0.21	0.42	0.67	0.25			0.81	0.81
SNAP29	0.15	0.78	0.74	0.23	0.39		0.08	0.27	0.46	0.76	0.85			1.07	0.86
SNAP91	0.27	0.19	0.22	0.22	0.6		0.62	0.38	0.68	0.68	0.26			1.06	1.05
SNAPAP	0.17	0.6	0.25	0.29	0.26		0.35	0.25	0.34	0.31	0.19			2.13	2.13
SNAPC1	0.98	0.85	0.54	0.63	0.43		0.88	0.91	0.79	0.76	0.68			3.96	3.42
SNAPC2	0.58	0.31	0.21	0.45	0.23		0.76	0.37	0.66	0.48	0.35			1.48	1.19
SNAPC3	0.69	0.65	0.7	0.76	0.44		0.87	0.79	0.33	0.23	0.34			2.04	1.72
SNCA	0.89	0.5	0.29	0.42	0.35		0.86	0.32	0.42	0.68	0.6			0.88	0.81
SNCB	0.23	0.27	0.72	0.5	0.26		0.57	0.5	0.76	0.46	0.69			1.09	0.88
SNFT	0.09	0.42	0.46	0.63	0.36		0.05	0.17	0.17	0.08	0.23			2.16	2.48
SNIP1	0.23	0.08	0.22	0.25	0.16		0.25	0.05	0.16	0.42	0.06			1.51	1.59
SNN	0.9		 	0.67	0.54		0.92	0.91		0.89	 				0.43
SNPH	0.42	0.33	0.36	0.54	0.28		0.73	0.54	0.25	0.53	0.54			1	0.99
SNRP70	0.55	0.36	0.09	0.29	0.41		0.39	0.3	0.32	0.36	0.23			1.92	2.1
SNRPA	0.99	0.85	0.98	0.76	0.91		0.74	0.99	0.46	0.17	0.94			4.2	3.93
SNRPC	0.23	0.29	0.3	0.2	0.17		0.29	0.54	0.43	0.48	0.15			2.39	2.2
SNRPD1	0.13	0.03	0.07	0.51	0.58		0.43	0.26	0.48	0.35	0.34			2.21	2.39
SNRPD2	0.96	0.82	0.64	0.75	0.88		0.97	0.94	0.46	0.3	0.86			2.87	2.8
SNRPD3	0.74	0.87	0.19	0.16	0.61		0.65	0.85	0.26	0.07	0.22			4.5	5.91
SNRPE	0.14	0.2	0.05	0.22	0.32		0.21	0.21	0.45	0.24	0.14			1.91	2.69
SNRPF	0.79	0.85	0.34	0.65	0.81		0.81	0.47	0.62	0.38	0.69			2.34	2.11
SNRPG	0.13	0.08	0.06	0.23	0.14		0.58	0.16	0.27	0.47	0.04			2	2.18
SNRPN	0.55	0.66	0.97	0.9	0.64		0.92	0.49	0.68	0.88	0.75			0.83	0.52
SNTA1	0.02	0.04	0.11	0.44	0.17		0.06	0.03	0.15	0.53	0.05			1.03	1.01
SNTB2	0.32	0.19	0.54	0.11	0.52		0.28	0.16	0.26	0.18	0.18			2.1	1.46
SNTG1	0.14	0.42	0.41	0.51	0.51		0.51	0.57	0.83	0.62	0.6			0.86	0.81
SNURF	0.17	0.51	0.75	0.86	0.25		0.32	0.7	0.62	0.59	0.88			2.6	1.9
SNX11	0.69	0.74	0.14	0.41	0.3		0.53	0.56	0.23	0.1	0.27			3.31	3.55
SNX13	0.53	0.74	0.54	0.23	0.44		0.47	0.57	0.25	0.31	0.28			4.32	3.74
SNX16	0.99	0.98	1	0.98	0.98		0.9	0.83	0.91	0.85	1			0.59	0.66
SNX17	0.55	0.6	0.11	0.12	0.27		0.07	0.3	0.14	0.11	0.29			5.12	4.82
SNX2	0.83	0.95	 	0.81	0.62		0.68	0.35		0.56	0.99				
SNX22	0.6	0.6	1	0.55	0.52		0.53	0.3	0.84	0.74	0.72			1.51	1.43
SNX25	0.74	0.68	0.5	0.68	0.79		0.96	0.7	0.83	0.89	0.7			0.7	0.7
SNX3	0.78	0.33	0.16	0.31	0.58		0.25	0.64	0.31	0.1	0.24			3.67	3.2
SNX4	0.17	0.59	0.16	0.45	0.62		0.23	0.28	0.44	0.6	0.28			1.83	1.63
SNX5	0.87	0.83	0.07	0.05	0.53		0.67	0.07	0.52	0.07	0.61			3.61	3.07
SNX6	0.2	0.94	 	0.93	0.67		0.91	0.71	0.9	0.79	 				
SNX7	0.39	0.45	0.99	0.14	0.24		0.7	0.52	0.69	0.77	0.72			1.24	0.36
SNX9	0.47	0.68	 	0.85	0.39		0.99	0.94		0.86	0.89				
SOAT1	0.64	0.35	0.49	0.22	0.29		0.56	0.29	0.23	0.19	0.35			1.83	1.68
SOAT2	0.56	0.82	0.34	0.57	0.36		0.67	0.7	0.41	0.5	0.59			0.8	0.72
SOCS1	0.19	 	0.46	0.66	 		0.23	0.46	0.37	0.6	0.23			1.01	1
SOCS3	0.1	 	0.6	0.28	 		0.32	0.57	0.55	0.64	0.35			0.94	0.89
SOCS4	0.92	0.06	0.98	0.98	0.32		0.77	0.95	0.97	0.9	1				0.73
SOCS5	0.19	 	0.65	0.87	 		0.58	0.5	0.98	0.66	0.82			0.77	0.79
SOD1	0.95	0.61	0.74	0.53	0.55		0.71	0.93	0.62	0.1	0.74			4.68	5.02
SOD3	0.15	0.79	0.57	0.55	0.71		0.53	0.79	0.79	0.61	0.64			0.8	0.82
SOLH	0.37	0.04	0.79	0.82	0.96		0.76	0.45	0.94	0.82	0.91			0.82	0.51
SORBS1	0.25	 	0.63	0.51	 		0.73	0.9	0.44	0.75	0.59			0.68	0.75
SORCS1	0.57	0.63	0.99	0.93	0.5		0.93	0.92		0.8	 			0.86	
SORCS3	0.62	0.45	0.88	0.9	0.42		0.28	0.65	0.77	0.36	0.86			2.13	1.79
SORD	0.21	0.08	0.12	0.19	0.26		0.26	0.17	0.26	0.38	0.08			1.74	1.66
SORL1	0.92		0.99	0.76	0.37		0.78	0.93	0.78	0.88	 			1.73	
SOS1	0.05	0.35	0.12	0.42	0.3		0.62	0.71	0.9	0.82	0.85			1.23	0.54
SOST	0.38	0.23	0.48	0.45	0.21		0.23	0.22	0.37	0.47	0.31			0.8	0.84
SOX1	0.48	0.04	 	0.48	0.52		0.86	0.89		0.56	0.9			0.81	
SOX10	0.43	0.58	 	0.69	0.79		0.67	0.83	0.93	0.73	 				
SOX12	0.07	 	0.93	0.25	 		0.01	0.05	0.36	0.13	0.76			0.99	1
SOX13	0.4	0.39	0.67	0.69	0.52		0.06	0.13	0.07	0.33	0.41			1	1.04
SOX14	0.15	0.58	0.39	0.73	0.51		0.14	0.44	0.46	0.61	0.42			1.09	1.08
SOX15	0.09	 	0.67	0.9	 		0.5	0.58	0.62	0.65	0.42			0.69	0.82
SOX17	0.47	0.72	 	0.61	0.24		0.57	0.91		0.69	 				1.89
SOX18	0.02	0.6	1	0.5	0.92		0.73	0.59	0.9	0.7	 				
SOX21	0.48	0.58	 	0.62	0.32		0.49	0.66		0.65	0.84				0.92
SOX3	0.31	0.1	0.31	0.32	0.72		0.22	0.13	0.16	0.66	0.11			0.96	1
SOX30	0.3	0.74	0.32	0.51	0.38		0.84	0.96	0.69	0.77	0.55			0.67	0.61
SOX4	0.51	0.3	0.07	0.48	0.5		0.59	0.61	0.62	0.56	0.24			2.14	2.17
SOX8	0.45	0.99	 	0	0.99		0.42	0.47	0.83	0	0.49			1.28	1.12
SOX9	0.22	0.95	 	0.94	0.51		0.91	0.92		0.69	 				0.43
SP100	0.67	0.82	0.21	0.16	0.72		0.43	0.59	0.37	0.05	0.32			4	3.36
SP110	0.99	0.87	0.76	0.38	0.6		0.17	0.25	0.57	0.17	0.75			3.07	2.1
SP140	0.3	0.55	0.51	0.52	0.63		0.66	0.57	0.47	0.59	0.61			0.72	0.72
SP4	0.06	0.19	0.98	0.16	0.27		0.16	0.05	0.78	0.09	0.98			1.42	2.13
SPA17	0.39	0.19	0.83	0.25	0.73		0.41	0.53	0.65	0.76	0.83			1.34	0.93
SPACA1	0.15	0.47	0.75	0.65	0.24		0.36	0.86	0.64	0.8	0.63			0.96	0.87
SPAG1	0.07	0.12	0.12	0.33	0.18		0.37	0.05	0.18	0.59	0.05			1	0.96
SPAG11	0.47	0.22	0.09	0.39	0.31		0.09	0.22	0.36	0.76	0.34			0.76	0.76
SPAG4	0.1	0.24	0.51	0.55	0.02		0.28	0.31	0.17	0.72	0.35			1	1.12
SPAG4L	0.2	0.52	0.38	0.58	0.54		0.44	0.4	0.47	0.63	0.24			0.85	0.91
SPAG8	0.6	0.53	0.34	0.16	0.22		0.37	0.59	0.37	0.35	0.58			2.88	2.05
SPANXA1	0.19	0.29	0.54	0.33	0.25		0.46	0.11	0.27	0.68	0.17			0.7	0.68
SPANXC	0.14	0.1	0.43	0.55	0.35		0.22	0.34	0.36	0.7	0.33			0.73	0.72
SPANXD	0.05	0.16	0.39	0.44	0.37		0.1	0.07	0.38	0.77	0.21			0.69	0.67
SPAP1	0.93	0.84	0.87	0.76	0.95		0.9	0.62	0.55	0.76	0.89			0.55	0.61
SPARC	0.21	0.65	0.23	0.43	0.54		0.47	0.37	0.68	0.66	0.28			0.89	0.91
SPARCL1	0.57	0.88	0.9	0.92	0.52		0.67	0.61	0.62	0.77	0.44			0.71	0.68
SPATA1	0.58	0.43	0.26	0.2	0.19		0.33	0.3	0.78	0.62	0.42			1.03	1.8
SPATA11	0.52	0.15	0.25	0.71	0.52		0.48	0.76	0.43	0.57	0.18			1.58	1.59
SPATA2	0.69	0.93	0.37	0.01	0.97		0.63	0.18	0.44	0	0.94			2.18	2.32
SPATA5L1	0.83	0.62	0.23	0.08	0.61		0.66	0.29	0.03	0.02	0.31			4.29	4.93
SPATA6	0.49	0.71	 	0.96	0.99		0.81	0.9		0.9	 				0.41
SPATA7	0.73	0.68	0.69	0.65	0.86		0.26	0.61	0.47	0.34	0.93			3.3	2.19
SPBPBP	0.79	0.84	0.97	0.94	0.9		0.61	0.79	0.56	0.91	0.96			0.71	0.66
SPC12	0.37	0.13	0.47	0.45	0.17		0.31	0.27	0.14	0.06	0.35			3.2	2.96
SPC18	0.67	0.71	0.27	0.16	0.51		0.53	0.37	0.21	0.11	0.17			4.95	5.11
SPDEF	0.41	0.34	0.17	0.33	0.78		0.68	0.61	0.78	0.72	0.6			0.72	0.82
SPG4	0.53	0.43	0.31	0.21	0.43		0.66	0.51	0.42	0.22	0.27			2.88	2.45
SPG7	0.08	0.6	0.82	0.44	0.51		0.63	0.29	0.7	0.45	0.76			1.02	1.02
SPIB	0.27	0.41	0.33	0.26	0.41		0.04	0.37	0.23	0.57	0.15			1.18	1.08
SPIN	0.65	0.4	1	0.51	0.33		0.74	0.86	0.98	0.74	0.9			1.12	0.96
SPIN2	0.25	 	0.99	0.56	 		0.68	0.46	0.8	0.61	0.84				1.09
SPINK1	0.28	0.42	0.78	0.57	0.15		0.79	0.59	0.45	0.77	0.65			0.74	0.71
SPINK2	0.52	0.23	0.32	0.3	0.23		0.23	0.15	0.61	0.68	0.39			0.99	1.01
SPINK4	0.21	0.31	0.49	0.77	0.63		0.67	0.57	0.86	0.8	0.71			0.91	0.99
SPINK5	0.53	0.77	0.67	0.74	0.99		0.97	0.71	0.73	0.72	0.82			1.79	1.66
SPINLW1	0.38	0.51	0.44	0.56	0.62		0.28	0.62	0.79	0.72	0.72			0.66	0.64
SPINT1	0.16	0.32	 	0.66	0.55		0.14	0.27	0.97	0.39	0.93			0.76	0.88
SPINT2	0.21	0.51	1	0.48	0.92		0.52	0.69	0.85	0.53	0.88			0.96	
SPN	0.09	0.45	1	0.81	0.26		0.47	0.76	0.91	0.61	 			0.63	0.96
SPO11	0.23	0.23	0.4	0.55	0.64		0.44	0.43	0.61	0.7	0.3			0.75	0.78
SPOCK	0.69	0.29	 	0.69	0.4		0.74	0.81		0.85	0.91				
SPOCK3	0.43	0.18	0.56	0.49	0.32		0.16	0.24	0.26	0.53	0.24			0.99	1.01
SPOP	0.56	0.23	0.1	0.18	0.27		0.1	0.33	0.15	0.24	0.15			2.39	2.21
SPP1	0.69	0.76	0.35	0.17	0.4		0.52	0.16	0.05	0.19	0.4			3.87	3.25
SPP2	0.99	0.89	0.99	0.97	1		0.98	0.99	0.97	0.97	0.99			0.52	0.38
SPR	0.21	0.14	0.47	0.18	0.2		0.45	0.22	0.45	0.39	0.32			1	0.97
SPRL6A	0.32	0.14	0.76	0.75	0.27		0.51	0.74	0.56	0.74	0.46			0.68	0.65
SPRR2B	0.24	0.3	0.17	0.48	0.31		0.51	0.01	0.53	0.79	0.59			0.71	0.7
SPRR2C	0.12	0.57	0.29	0.59	0.29		0.19	0.35	0.44	0.78	0.33			0.92	0.79
SPRR3	0.35	0.52	0.54	0.69	0.51		0.53	0.8	0.43	0.64	0.45			0.68	0.69
SPRY2	0.55	0.24	 	0.7	0.21		0.62	0.5		0.82	 				
SPTA1	1	1	1	0.96	1		0.99	0.85	0.86	0.88	0.99			0.54	0.53
SPTAN1	0.12	0.32	0.14	0.43	0.14		0.74	0.39	0.74	0.69	0.44			0.99	0.96
SPTB	0.27	0.25	0.55	0.38	0.91		0.39	0.56	0.58	0.57	0.3			1	0.95
SPTBN2	0.05	0.1	0.39	0.21	0.08		0.68	0.56	0.32	0.74	0.15			0.92	0.96
SPTBN4	0.61	0.41	0.45	0.57	0.35		0.83	0.79	0.63	0.5	0.55			0.77	0.8
SPTBN5	0.17	0.15	0.19	0.37	0.33		0.16	0.81	0.44	0.57	0.23			1.11	1.05
SPTLC2	0.52	0.14	0.11	0.43	0.54		0.33	0.67	0.62	0.42	0.19			0.94	0.95
SPUF	0.96	0.04	 	0.41	0.71		0.85	0.95	0.94	0.83	 				
SQLE	0.9	0.66	0.87	0.96	0.91		0.73	0.37	0.91	0.56	0.18			4.6	3.16
SQSTM1	0.76	0.48	0.14	0	0.68		0.42	0.22	0.16	0.07	0.16			3.78	4.71
SRC	0.18	0.25	0.07	0.43	0.12		0.61	0.15	0.32	0.48	0.16			1	1.1
SRCAP	0.65	0.74	0.31	0.58	0.23		0.42	0.94	0.62	0.9	0.71			1.64	1.75
SRCRB4D	0.3	0.56	0.16	0.41	0.52		0.53	0.72	0.64	0.69	0.32			0.89	0.92
SREBF1	0.43	0.66	0.24	0.25	0.53		0.15	0.22	0.15	0.22	0.54			3.41	2.93
SREBF2	0.74	0.33	0.31	0.04	0.26		0.11	0.41	0	0	0.14			3.06	3.17
SRF	0.35	0.39	0.27	0	0.22		0.58	0.41	0.22	0	0.22			1.83	1.8
SRMS	0.49	 	 	0.78	 		0.95	0.45		0.75	 				
SRP14	0.54	0.45	0.36	0.52	0.38		0.07	0.63	0.24	0.48	0.14			2.47	2.73
SRP19	0.97	0.63	0.44	0.44	0.54		0.79	0.61	0.44	0.25	0.67			4.31	4.08
SRP46	0.97	0.96	0.73	0.99	0.53		0.69	0.96	0.88	0.73	0.94			2.58	2.08
SRP54	0.81	0.82	0.52	0.18	0.54		0.02	0.6	0.21	0.04	0.28			4.62	5.02
SRP68	0.31	0.69	0.73	0.24	0.17		0.38	0.33	0.19	0.22	0.12			4.02	3.43
SRP9	0.94	0.45	0.37	0.39	0.18		0.7	0.69	0.56	0.07	0.55			3.37	2.97
SRPK1	1	0.99	0.54	0.63	0.88		0.71	0.94	0.46	0.33	0.62			1.44	3.1
SRPK2	1	1	1	0.96	0.97		0.99	1	0.83	0.73	1			3.38	2.6
SRPR	0.69	0.79	0.19	0.47	0.58		0.59	0.84	0.33	0.06	0.44			4.23	4.08
SRPRB	0.77	0.83	0.79	0.87	0.93		0.89	0.7	0.57	0.26	0.6			2.57	1.83
SRPX	0.31	0.23	0.16	0.03	0.26		0.08	0.07	0.35	0.27	0.28			1.77	1.58
SRPX2	0.55	0.42	0.88	0.77	0.99		0.77	0.45	0.6	0.3	0.93			0.61	0.73
SRR	0.1	0.12	0.66	0.3	0.18		0.41	0.51	0.34	0.67	0.49			1.11	0.95
SRRM2	0.28	0.64	0.22	0.74	0.39		0.5	0.36	0.45	0.47	0.37			1.16	1.16
SRrp35	0.06	0.11	0.11	0.3	0.24		0.15	0.02	0.22	0.58	0.15			0.99	0.98
SRY	0.35	0.41	0.39	0.59	0.5		0.51	0.27	0.49	0.69	0.45			1.08	1.15
SS18	0.48	0.67	 	0.87	0.53		0.74	0.71	0.99	0.54	0.69			0.67	0.79
SS18L2	0.28	0.4	0.05	0.28	0.19		0.53	0.25	0.36	0.53	0.08			1.81	1.62
SSA1	0.36	0.56	0.73	0.4	0.41		0.11	0.3	0.25	0.1	0.33			3.5	2.94
SSB	0.57	0.81	0.36	0.59	0.25		0.54	0.51	0.39	0.34	0.61			2.6	2.06
SSB-4	0.98	 	1	0.53	 		0.3	0.69	0.85	0.72	0.77			2.72	2.26
SSBP1	0.78	0.57	0.19	0.26	0.42		0.21	0.65	0.06	0.08	0.24			3.05	2.72
SSBP2	0.03	0.11	0.59	0.35	0.95		0.76	0.22	0.69	0.72	0.96				
SSBP4	0.94	 	0.9	0.7	 		0.92	0.73	0.89	0.95	 			0.69	
SSH1	0.14	 	0.25	0.41	 		0.59	0.13	0.12	0.55	0.08			1.05	1
SSPN	0.17	0.06	0.61	0.21	0.18		0.24	0.4	0.32	0.61	0.16			0.98	0.99
SSR2	0.91	0.41	0.38	0.5	1		0.59	0.96	0.8	0.69	0.74			3.35	3.6
SSR3	0.93	0.85	0.51	0.71	0.5		0.79	0.89	0.56	0.36	0.9			2.89	2.33
SSR4	0.96	0.59	0.99	0.67	1		0.48	0.53	1	0.63	0.95			0.79	0.45
SSRP1	0.27	0.13	0.37	0.33	0.31		0.1	0.06	0.62	0.61	0.44			0.88	0.88
SSSCA1	0.42	0.35	0.43	0.14	0.18		0.25	0.01	0	0.01	0.03			4.17	3.84
SST	0.2	0.48	0.77	0.31	0.67		0.3	0.37	0.76	0.62	0.72			0.75	0.71
SSTK	0.83	0.62	0.25	0.14	0.51		0.07	0.55	0.12	0.07	0.16			4.07	3.73
SSTR1	0.19	0.37	0.52	0.51	0.69		0.49	0.6	0.3	0.35	0.68			1.22	1.24
SSTR4	0.2		1	0.43	0.6		0.74	0.37	0.74	0.82	 				
SSTR5	0.05	0.4	0.3	0.11	0.3		0.4	0.04	0.38	0.58	0.32			0.99	1.02
SSX1	0.47	0.71	 	0.93	0.7		0.86	0.92		0.84	0.97				0.21
SSX2	0.12	0.34	0.68	0.3	0.81		0.48	0.08	0.47	0.82	0.59			0.58	0.57
SSX2IP	0.27	 	0.5	0.32	 		0.32	0.57	0.47	0.44	0.35			1.04	0.97
SSX3	0.38	0.28	0.2	0.38	0.17		0.34	0.21	0.65	0.72	0.21			0.68	0.64
SSX4	0.45	0.68	0.59	0.43	0.23		0.59	0.56	0.65	0.78	0.61			0.61	0.58
SSX5	0.69	0.71	 	0.83	0.64		0.78	0.85		0.85	0.86				
ST13	0.46	0.14	0.36	0.51	0.16		0.2	0.42	0.1	0.08	0.12			3.89	3.54
ST14	0.01	0.41	0.8	0.53	0.2		0.49	0.29	0.54	0.82	0.75			1	0.97
ST18	0.21	 	0.65	0.28	 		0.24	0.11	0.63	0.51	0.23			0.95	1
STAB1	0.24	0.14	0.87	0.3	0.72		0.09	0.18	0.77	0.62	0.95			1.43	0.53
STAB2	0.57	0.64	0.32	0.74	0.98		0.51	0.38	0.47	0.68	0.69			0.75	0.81
STAC	0.58	0.63	0.33	0.3	0.69		0.47	0.65	0.57	0.32	0.57			2.22	1.86
STAF42	0.92	0.99	0.66	0.72	0.38		0.9	0.92	0.63	0.4	0.79			1.63	1.81
STAF65(gamma)	0.61	0.24	0.05	0.01	0.17		0.06	0.38	0.02	0.01	0.04			3.69	3.56
STAG3	0.22	0.25	0.66	0.27	0.2		0.45	0.33	0.51	0.62	0.64				
STAM	0.83	0.71	0.48	0.39	0.63		0.37	0.43	0.23	0.13	0.53			3.73	3.74
STAM2	0.3	0.4	0.05	0.06	0.58		0.53	0.29	0.09	0.03	0.51			3.92	4.02
STAMBP	0.79	0.76	0.32	0.26	0.87		0.47	0.28	0.28	0.06	0.45			3.39	3.85
STAR	0.2	0.5	0.13	0.34	0.21		0.52	0.33	0.63	0.51	0.22			1.33	1.07
STARD10	0.92	0.83	0.18	0.19	0.52		0.1	0.06	0	0.01	0.6			2.74	3.29
STARD13	0.54	 	0.78	0.84	 		0.74	0.6	0.61	0.72	0.4			0.71	0.77
STARD3	0.9	 	0.41	0.28	 		0.66	0.9	0.39	0.03	0.47			3.64	3.14
STARD3NL	0.96	 	0.75	0.66	 		0.22	0.35	0.07	0.05	0.45			2.48	2.98
STARD7	0.6	0.09	0.24	0.46	0.5		0.44	0.8	0.57	0.34	0.47			6.07	7.37
STARD8	0.63	 	0.2	0.49	 		0.77	0.17	0.29	0.38	0.21			3.53	3.94
STAT1	0.8	0.26	0	0.02	0.11		0.01	0	0	0.01	0.01			5.29	4.04
STAT2	0.72	0.32	0.55	0.64	0.99		0.79	0.91	0.35	0.38	0.8			2.74	2.68
STAT4	0.53	0.53	0.18	0.53	0.25		0.68	0.63	0.8	0.7	0.56			0.72	0.63
STAT5A	0.64	0.33	0.54	0	0.3		0	0	0	0	0.03			3.84	4.07
STAT6	0.46	0.24	0.64	0.16	0.37		0	0.03	0.02	0.01	0.14			3.36	3.17
STATH	0.97	0.23	0.95	0.68	0.91		0.99	0.88	0.93	0.83	0.92			0.79	0.61
STATIP1	0.68	0.29	0.42	0	0.07		0.04	0.06	0.01	0	0			4.29	4
STAU	0.12	0.57	0.28	0.46	0.33		0.51	0.27	0.36	0.63	0.18			0.93	0.98
STAU2	0.61	0.85	 	0.63	0.32		0.99	0.24	0.92	0.46	 				
STC1	0.21	0.57	0.4	0.66	0.34		0.52	0.58	0.63	0.47	0.63			1.44	1.44
STC2	0.54	0.69	0.18	0.52	0.54		0.04	0.63	0.85	0.49	0.54			0.98	0.95
STCH	0.99	0.85	0.24	0.57	0.69		0.61	0.89	0.56	0.15	0.77			3.91	3.78
STEAP	0.38	0.76	0.2	0.42	0.41		0.45	0.49	0.46	0.63	0.36			0.85	0.92
STIP1	0.12	0.35	0.47	0.37	0.74		0.14	0.2	0.77	0.58	0.3			1.2	1.37
STK10	0.22	0.09	0.23	0.26	1		0.67	0.15	0.66	0.56	0.58			1	1.03
STK11	0.76	0.72	0.28	0.06	0.29		0.08	0.03	0.39	0.01	0.26			2.28	2.16
STK16	0.85	0.48	0.21	0.5	0.93		0.75	0.91	0.87	0.21	0.57			5.07	5.29
STK17A	0.74	0.18	 	0.86	0.87		0.76	0.93		0.8	0.88				
STK17B	0.46	0.67	0.59	0.72	0.26		0.7	0.7	0.83	0.75	0.58				
STK19	0.44	0.67	0.11	0.12	0.41		0.03	0.18	0.03	 	0.14			4.35	4.64
STK22B	0.16	0.39	0.59	0.52	0.22		0.35	0.5	0.39	0.64	0.45			0.97	0.94
STK22C	0.19	0.82	0.51	0.93	0.56		0.36	0.69	0.74	0.92	0.48			1.78	2.34
STK22D	0.15	 	0.8	0.1	 		0.32	0.47	0.99	0.87	0.78				
STK23	0.06	0.3	1	0.56	0.6		0.46	0.7	0.89	0.53	0.75			1.1	1.16
STK24	0.46	0.61	0.33	0.29	0.5		0.05	0.6	0.6	0.59	0.37			1.12	0.97
STK3	0.5	0.99	 	0.8	0.74		0.89	0.86		0.73	 				
STK31	0.42	0.97	0.46	0.52	0.51		0.51	0.06	0.84	0.83	0.7			0.69	0.76
STK32B	0.25	0.23	0.36	0.39	0.25		0.12	0.76	0.32	0.33	0.14			1.41	1.17
STK35	0.58	0.44	1	0.17	0.28		0.85	0.39		0.68	 				
STK4	0.01	0.03	0.6	0.1	0.4		0.24	0.03	0.65	0.22	0.48			0.85	0.96
STMN1	0.12	0.15	0.74	0.34	0.12		0.09	0.18	0.09	0.54	0.15			1.01	1.01
STMN2	0.61	0.46	0.53	0.96	0.5		0.82	0.41	0.76	0.93	0.94			0.61	0.61
STMN3	0.21	0.21	0.24	0.33	0.22		0.23	0.06	0.82	0.67	0.25			0.91	0.92
STMN4	0.8	0.87	0.58	0.32	0.1		0.86	0.75	0.69	0.87	0.74			0.65	0.67
STOM	0.86	 	0.55	0.5	 		0.39	0.23	0.27	0.27	0.22			5.17	4.6
STOML1		0.38	 		0.72						 				
STOML2	0.77	0.53	0.49	0.25	0.94		0.55	0.39	0.11	0.1	0.27			3.86	3.21
STRAP	0.62	0.25	0.49	0.43	0.44		0.27	0.24	0.23	0.2	0.19			4.47	4.5
STRN3	0.03	 	0.03	0.54	 		0.04	0.3	0.62	0.78	0.09			0.65	0.69
STRN4	0.46	 	0.97	0.52	 		0.35	0.47		0.71	0.89			1.05	
